Sample,Timepoint,Oxygen,Time_hr
MQ,0,198.534,0
MQ,2,199.542,2
MQ,4,200.436,4
MQ,22,199.545,22
MQ,24,195.325,24
MQ,26,193.376,26
MQ,28,198.883,28
MQ,30,196.286,30
MQ,46,192.668,46
MQ,48,195.652,48
FP1,0,200.032,0
FP1,2,195.805,2
FP1,4,196.112,4
FP1,22,163.605,22
FP1,24,160.651,24
FP1,26,156.277,26
FP1,28,153.463,28
FP1,30,150.288,30
FP1,46,129.879,46
FP1,48,129.988,48
FP2,0,200.147,0
FP2,2,194.768,2
FP2,4,192.813,4
FP2,22,144.894,22
FP2,24,140.539,24
FP2,26,136.456,26
FP2,28,132.108,28
FP2,30,131.05,30
FP2,46,110.421,46
FP2,48,110.719,48
FP3,0,204.111,0
FP3,2,198.755,2
FP3,4,199.491,4
FP3,22,157.804,22
FP3,24,151.715,24
FP3,26,148.087,26
FP3,28,144.007,28
FP3,30,145.304,30
FP3,46,117.132,46
FP3,48,116.84,48
FP4,0,199.547,0
FP4,2,192.718,2
FP4,4,198.391,4
FP4,22,161.017,22
FP4,24,154.611,24
FP4,26,154.143,26
FP4,28,149.493,28
FP4,30,151.844,30
FP4,46,128.094,46
FP4,48,124.779,48
FP5,0,202.128,0
FP5,2,195.911,2
FP5,4,196.48,4
FP5,22,176.118,22
FP5,24,167.472,24
FP5,26,165.439,26
FP5,28,165.218,28
FP5,30,162.675,30
FP5,46,136.674,46
FP5,48,135.83,48
