Phyto_Species,Particle_Type,Replicate,Trial,Sample,slope,r_squared,p_value,n_points,time_range,oxygen_consumption_rate,sample_type,Treatment
G. hux,Aggregate,1,1,GHA1-1,-0.627223618,0.89640171,0.000108636,9,46,0.627223618,Sample,G. hux_Aggregate
G. hux,Aggregate,1,2,GHA1-2,-0.594306921,0.806968367,0.005991383,7,46,0.594306921,Sample,G. hux_Aggregate
G. hux,Aggregate,1,3,GHA1-3,-0.844452912,0.87062528,0.002146373,7,46,0.844452912,Sample,G. hux_Aggregate
G. hux,Aggregate,1,4,GHA1-4,-0.711324508,0.755896449,0.011016502,7,46,0.711324508,Sample,G. hux_Aggregate
G. hux,Aggregate,1,5,GHA1-5,-0.746768343,0.825352567,0.004629192,7,46,0.746768343,Sample,G. hux_Aggregate
G. hux,Aggregate,1,MQ,GHA1-MQ,0.007034039,0.002736422,0.911315853,7,46,0.007034039,Control,G. hux_Aggregate
G. hux,Aggregate,2,1,GHA2-1,-0.538038119,0.896818153,3.24E-05,10,46,0.538038119,Sample,G. hux_Aggregate
G. hux,Aggregate,2,2,GHA2-2,-0.689632353,0.700914947,0.009511735,8,46,0.689632353,Sample,G. hux_Aggregate
G. hux,Aggregate,2,3,GHA2-3,-0.354462104,0.73608482,0.006423545,8,46,0.354462104,Sample,G. hux_Aggregate
G. hux,Aggregate,2,4,GHA2-4,-0.370837104,0.852966152,0.001053507,8,46,0.370837104,Sample,G. hux_Aggregate
G. hux,Aggregate,2,5,GHA2-5,-0.358999434,0.821146421,0.00192253,8,46,0.358999434,Sample,G. hux_Aggregate
G. hux,Aggregate,2,MQ,GHA2-MQ,0.113660633,0.484057609,0.055324397,8,46,0.113660633,Control,G. hux_Aggregate
G. hux,Aggregate,3,1,GHA3-1,-0.953992722,0.970594524,1.28E-06,9,48,0.953992722,Sample,G. hux_Aggregate
G. hux,Aggregate,3,2,GHA3-2,-1.255905538,0.912763751,5.91E-05,9,48,1.255905538,Sample,G. hux_Aggregate
G. hux,Aggregate,3,3,GHA3-3,-0.938351187,0.913861347,5.65E-05,9,48,0.938351187,Sample,G. hux_Aggregate
G. hux,Aggregate,3,4,GHA3-4,-1.318331646,0.918805113,4.59E-05,9,48,1.318331646,Sample,G. hux_Aggregate
G. hux,Aggregate,3,5,GHA3-5,-1.002866377,0.93424139,2.18E-05,9,48,1.002866377,Sample,G. hux_Aggregate
G. hux,Aggregate,3,MQ,GHA3-MQ,0.08058046,0.416589266,0.060459169,9,48,0.08058046,Control,G. hux_Aggregate
G. hux,Faecal pellets,2,1,GHFP2-1,-0.455425433,0.926723062,2.08E-06,11,46,0.455425433,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,2,2,GHFP2-2,-0.577291616,0.910748733,5.09E-06,11,46,0.577291616,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,2,3,GHFP2-3,-1.231847544,0.881077729,0.000177221,9,46,1.231847544,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,2,4,GHFP2-4,-1.168595227,0.862874511,0.000294072,9,46,1.168595227,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,2,5,GHFP2-5,-1.086500579,0.819472618,0.000785067,9,46,1.086500579,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,2,MQ,GHFP2-MQ,-0.129976946,0.749829582,0.002542266,9,46,0.129976946,Control,G. hux_Faecal pellets
G. hux,Faecal pellets,3,1,GHFP3-1,-0.151706994,0.594619577,0.014975484,9,46,0.151706994,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,3,2,GHFP3-2,-0.071322654,0.162940198,0.281306274,9,46,0.071322654,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,3,3,GHFP3-3,-0.038763249,0.028359619,0.664936543,9,46,0.038763249,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,3,4,GHFP3-4,0.003190921,0.000120388,0.977649948,9,46,0.003190921,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,3,5,GHFP3-5,-0.24311099,0.50595244,0.031656542,9,46,0.24311099,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,3,MQ,GHFP3-MQ,0.097640313,0.653266597,0.008380165,9,46,0.097640313,Control,G. hux_Faecal pellets
G. hux,Faecal pellets,4,1,GHFP4-1,-0.762484962,0.988381941,5.08E-05,6,48,0.762484962,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,4,2,GHFP4-2,-0.79112782,0.977551271,0.000190412,6,48,0.79112782,Sample,G. hux_Faecal pellets
G. hux,Faecal pellets,4,MQ,GHFP4-MQ,-0.418640038,0.92782997,0.002002184,6,48,0.418640038,Control,G. hux_Faecal pellets
Skeletonema,Aggregate,1,1,SKA1-1,-0.085306931,0.238191963,0.326050981,6,46,0.085306931,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,1,2,SKA1-2,-0.067649222,0.203421697,0.369339508,6,46,0.067649222,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,1,3,SKA1-3,-0.102555163,0.362551197,0.205966704,6,46,0.102555163,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,1,4,SKA1-4,-0.138027581,0.66753438,0.047155406,6,46,0.138027581,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,1,5,SKA1-5,-0.306358557,0.854643357,0.008341898,6,46,0.306358557,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,1,MQ,SKA1-MQ,0.187296322,0.873571808,0.006266271,6,46,0.187296322,Control,Skeletonema_Aggregate
Skeletonema,Aggregate,2,1,SKA2-1,-0.157890837,0.677689028,0.012045259,8,46,0.157890837,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,2,2,SKA2-2,-0.042540724,0.107974128,0.426798937,8,46,0.042540724,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,2,3,SKA2-3,-0.11800509,0.390710626,0.097490309,8,46,0.11800509,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,2,4,SKA2-4,-0.105404977,0.285915899,0.172127967,8,46,0.105404977,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,2,5,SKA2-5,-0.291167781,0.691045235,0.002875962,10,46,0.291167781,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,2,MQ,SKA2-MQ,0.113660633,0.484057609,0.055324397,8,46,0.113660633,Control,Skeletonema_Aggregate
Skeletonema,Aggregate,3,1,SKA3-1,-0.684173813,0.988567524,4.67E-08,9,48,0.684173813,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,3,2,SKA3-2,-0.599830775,0.973197608,9.27E-07,9,48,0.599830775,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,3,3,SKA3-3,-1.228267405,0.89383069,0.000118498,9,48,1.228267405,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,3,4,SKA3-4,-1.272687579,0.862511475,0.000296853,9,48,1.272687579,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,3,5,SKA3-5,-0.678521835,0.95483891,5.80E-06,9,48,0.678521835,Sample,Skeletonema_Aggregate
Skeletonema,Aggregate,3,MQ,SKA3-MQ,0.077619541,0.389992329,0.072201552,9,48,0.077619541,Control,Skeletonema_Aggregate
Skeletonema,Faecal pellets,1,1,SKFP1-1,-0.284212664,0.703510597,0.004716441,9,48,0.284212664,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,1,2,SKFP1-2,-0.372136354,0.573592659,0.018103432,9,48,0.372136354,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,1,3,SKFP1-3,-0.413705677,0.617008752,0.012114909,9,48,0.413705677,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,1,4,SKFP1-4,-0.655827293,0.830128192,0.00063142,9,48,0.655827293,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,1,5,SKFP1-5,-1.034498144,0.917893943,4.77E-05,9,48,1.034498144,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,1,MQ,SKFP1-MQ,-0.119979148,0.811627838,0.000914396,9,48,0.119979148,Control,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,2,1,SKFP2-1,-1.523985992,0.989763176,3.02E-09,10,48,1.523985992,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,2,2,SKFP2-2,-1.971359922,0.957052079,9.47E-07,10,48,1.971359922,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,2,3,SKFP2-3,-1.894305837,0.984561577,1.56E-08,10,48,1.894305837,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,2,4,SKFP2-4,-1.585235409,0.980513675,3.97E-08,10,48,1.585235409,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,2,5,SKFP2-5,-1.363601946,0.990897865,1.88E-09,10,48,1.363601946,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,2,MQ,SKFP2-MQ,-0.115937354,0.510487714,0.020249112,10,48,0.115937354,Control,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,3,1,SKFP3-1,-0.826741843,0.963251073,5.06E-07,10,48,0.826741843,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,3,2,SKFP3-2,-0.931031353,0.959067279,4.10E-06,9,48,0.931031353,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,3,3,SKFP3-3,-0.700416582,0.960190763,6.98E-07,10,48,0.700416582,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,3,4,SKFP3-4,-0.944690594,0.990747083,2.23E-08,9,48,0.944690594,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,3,5,SKFP3-5,-0.645067657,0.977740869,4.83E-07,9,48,0.645067657,Sample,Skeletonema_Faecal pellets
Skeletonema,Faecal pellets,3,MQ,SKFP3-MQ,-0.181738449,0.46209071,0.043964394,9,48,0.181738449,Control,Skeletonema_Faecal pellets
